	ID	original_filename	Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	Tissue	region_type	basename	genotype	replicate	new_filename
1385	276	276_repset.4620313.smoothedM.clusters.gff3.depleted.gff.gz	Chriz;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	276_repset.4620313.smoothedM.clusters.gff3	wt	0	Chriz_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_depleted_276
1386	3778	3778_repset.15664097.smoothedM.clusters.gff3.depleted.gff.gz	HP1b;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Mixed Adult	Karpen, G.	Adult	depleted	3778_repset.15664097.smoothedM.clusters.gff3	wt	0	HP1b_wt_Adult_Non-TF-Chromatin-binding-factor_0_depleted_3778
1387	3778	3778_repset.15664097.smoothedM.clusters.gff3.enriched.gff.gz	HP1b;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Mixed Adult	Karpen, G.	Adult	enriched	3778_repset.15664097.smoothedM.clusters.gff3	wt	0	HP1b_wt_Adult_Non-TF-Chromatin-binding-factor_0_enriched_3778
1388	2783	2783_KC_MCM_27.bed.gff3.gz	MCM2-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	Kc	enriched	2783_KC_MCM_27.bed.gff3.gz	wt	0	MCM2-7_wt_Kc_DNA-Replication_0_enriched_2783
1389	2783	2783_KC_MCM.bed.gff3.gz	MCM2-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	Kc	enriched	2783_KC_MCM.bed.gff3.gz	wt	1	MCM2-7_wt_Kc_DNA-Replication_1_enriched_2783
1390	2783	2783_KC_MCM_26.bed.gff3.gz	MCM2-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	Kc	enriched	2783_KC_MCM_26.bed.gff3.gz	wt	2	MCM2-7_wt_Kc_DNA-Replication_2_enriched_2783
1391	4933	4933_repset.18153525.enrichment.clusters.gff3.enriched.gff.gz	H3K9me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Mixed Adult	Karpen, G.	Adult	enriched	4933_repset.18153525.enrichment.clusters.gff3	wt	0	H3K9me3_wt_Adult_Histone-Modification_0_enriched_4933
1392	4933	4933_2215.enrichment.clusters.gff3.enriched.gff.gz	H3K9me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Mixed Adult	Karpen, G.	Adult	enriched	4933_2215.enrichment.clusters.gff3	wt	1	H3K9me3_wt_Adult_Histone-Modification_1_enriched_4933
1393	4933	4933_2216.enrichment.clusters.gff3.enriched.gff.gz	H3K9me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Mixed Adult	Karpen, G.	Adult	enriched	4933_2216.enrichment.clusters.gff3	wt	2	H3K9me3_wt_Adult_Histone-Modification_2_enriched_4933
1394	3793	3793_repset.14517389.smoothedM.clusters.gff3.depleted.gff.gz	POF;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3793_repset.14517389.smoothedM.clusters.gff3	EGG mutant	0	POF_EGG-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3793
1395	3793	3793_repset.14517389.smoothedM.clusters.gff3.enriched.gff.gz	POF;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3793_repset.14517389.smoothedM.clusters.gff3	EGG mutant	0	POF_EGG-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3793
1396	978	978_sens_sens-E4-8h_pvalue_Dm_BDGPv5.bed.gff.gz	senseless;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	senseless	Embryos 4-8 hr	White, K.	Embryo	enriched	978_sens_sens-E4-8h_pvalue_Dm_BDGPv5.bed.gff.gz	wt	0	senseless_wt_Embryo_Transcriptional-Factor_0_enriched_978
1397	3678	3678_repset.14517062.smoothedM.clusters.gff3.depleted.gff.gz	H2Av;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3678_repset.14517062.smoothedM.clusters.gff3	wt	0	H2Av_wt_Larvae_Histone-Modification_0_depleted_3678
1398	3678	3678_repset.14517062.smoothedM.clusters.gff3.enriched.gff.gz	H2Av;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3678_repset.14517062.smoothedM.clusters.gff3	wt	0	H2Av_wt_Larvae_Histone-Modification_0_enriched_3678
1399	4182	4182_repset.4621228.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	S2	enriched	4182_repset.4621228.smoothedM.clusters.gff3	wt	0	H3K9me1_wt_S2_Histone-Modification_0_enriched_4182
1400	4182	4182_repset.4621228.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	S2	depleted	4182_repset.4621228.smoothedM.clusters.gff3	wt	0	H3K9me1_wt_S2_Histone-Modification_0_depleted_4182
1401	3890	3890_repset.14909547.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3890_repset.14909547.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_depleted_3890
1402	3890	3890_repset.14909547.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3890_repset.14909547.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_enriched_3890
1403	3761	3761_repset.15664090.smoothedM.clusters.gff3.enriched.gff.gz	H3K4me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	S2	enriched	3761_repset.15664090.smoothedM.clusters.gff3	wt	0	H3K4me3_wt_S2_Histone-Modification_0_enriched_3761
1404	3761	3761_repset.15664090.smoothedM.clusters.gff3.depleted.gff.gz	H3K4me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	S2	depleted	3761_repset.15664090.smoothedM.clusters.gff3	wt	0	H3K4me3_wt_S2_Histone-Modification_0_depleted_3761
1405	940	940_repset.8061134.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me3;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	940_repset.8061134.smoothedM.clusters.gff3	wt	0	H3K9me3_wt_CME-W1-Cl.8+_Histone-Modification_0_depleted_940
1406	940	940_repset.8061134.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me3;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	940_repset.8061134.smoothedM.clusters.gff3	wt	0	H3K9me3_wt_CME-W1-Cl.8+_Histone-Modification_0_enriched_940
1407	951	951_repset.4623888.smoothedM.clusters.gff3.enriched.gff.gz	Su(Hw);ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	951_repset.4623888.smoothedM.clusters.gff3	wt	0	Su(Hw)_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_951
1408	951	951_repset.4623888.smoothedM.clusters.gff3.depleted.gff.gz	Su(Hw);ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	951_repset.4623888.smoothedM.clusters.gff3	wt	0	Su(Hw)_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_951
1409	3034	3034_repset.9275097.smoothedM.clusters.gff3.depleted.gff.gz	JIL-1;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	3034_repset.9275097.smoothedM.clusters.gff3	wt	0	JIL-1_wt_Embryo_Non-TF-Chromatin-binding-factor_0_depleted_3034
1410	3034	3034_repset.9275097.smoothedM.clusters.gff3.enriched.gff.gz	JIL-1;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	3034_repset.9275097.smoothedM.clusters.gff3	wt	0	JIL-1_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_3034
1411	5147	5147_repset.11436078.smoothedM.clusters.gff3.enriched.gff.gz	Su(Hw);CG8573-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;integrated-gene-model	D. melanogaster	integrated-gene-model	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	S2	enriched	5147_repset.11436078.smoothedM.clusters.gff3	wt	0	Su(Hw)_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_5147
1412	5147	5147_repset.11436078.smoothedM.clusters.gff3.depleted.gff.gz	Su(Hw);CG8573-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;integrated-gene-model	D. melanogaster	integrated-gene-model	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	S2	depleted	5147_repset.11436078.smoothedM.clusters.gff3	wt	0	Su(Hw)_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_5147
1413	3814	3814_D.sim_E0-4h_Trl-D2_peaks.bed.gff.gz	GAF;FlyStrain;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 0-4 hr	White, K.	Embryo	enriched	3814_D.sim_E0-4h_Trl-D2_peaks.bed.gff.gz	wt	0	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_3814
1414	900	900_MAT_rbCBP_E-0-4h.bed_dcc.gff.gz	nejire;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 0-4 hr	White, K.	Embryo	enriched	900_MAT_rbCBP_E-0-4h.bed_dcc.gff.gz	wt	0	nejire_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_900
1415	3008	3008_repset.9699502.smoothedM.clusters.gff3.depleted.gff.gz	H3K9acS10P;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3008_repset.9699502.smoothedM.clusters.gff3	wt	0	H3K9acS10P_wt_Larvae_Histone-Modification_0_depleted_3008
1416	3008	3008_repset.9699502.smoothedM.clusters.gff3.enriched.gff.gz	H3K9acS10P;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3008_repset.9699502.smoothedM.clusters.gff3	wt	0	H3K9acS10P_wt_Larvae_Histone-Modification_0_enriched_3008
1417	3027	3027_repset.9276755.smoothedM.clusters.gff3.depleted.gff.gz	HP2;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	3027_repset.9276755.smoothedM.clusters.gff3	wt	0	HP2_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_depleted_3027
1418	3027	3027_repset.9276755.smoothedM.clusters.gff3.enriched.gff.gz	HP2;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	3027_repset.9276755.smoothedM.clusters.gff3	wt	0	HP2_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_enriched_3027
1419	3707	3707_repset.14517391.smoothedM.clusters.gff3.depleted.gff.gz	HP1a;Fly-GFP-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	S2	depleted	3707_repset.14517391.smoothedM.clusters.gff3	wt	0	HP1a_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3707
1420	3707	3707_repset.14517391.smoothedM.clusters.gff3.enriched.gff.gz	HP1a;Fly-GFP-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	S2	enriched	3707_repset.14517391.smoothedM.clusters.gff3	wt	0	HP1a_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3707
1421	2385	2385_follicle_188_peaks.gff.gz	Replication-Copy-Number;Oregon-R Orr-Weaver;Adult Female, eclosion + 1 days;Oocyte associated follicle cell;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Adult Female, eclosion + 1 days	MacAlpine, D.	Adult	enriched	2385_follicle_188_peaks.gff.gz	wt	0	Replication-Copy-Number_wt_Adult_Copy-Number-Variation_0_enriched_2385
1422	4122	4122_1826.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4122_1826.enrichment.clusters.gff3	wt	0	H3K79me1_wt_Embryo_Histone-Modification_0_enriched_4122
1423	4122	4122_1955.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4122_1955.enrichment.clusters.gff3	wt	1	H3K79me1_wt_Embryo_Histone-Modification_1_enriched_4122
1424	4122	4122_repset.17400885.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4122_repset.17400885.enrichment.clusters.gff3	wt	2	H3K79me1_wt_Embryo_Histone-Modification_2_enriched_4122
1425	2987	2987_repset.9276440.smoothedM.clusters.gff3.enriched.gff.gz	Enhancer-of-zeste;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	2987_repset.9276440.smoothedM.clusters.gff3	wt	0	Enhancer-of-zeste_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_2987
1426	2987	2987_repset.9276440.smoothedM.clusters.gff3.depleted.gff.gz	Enhancer-of-zeste;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	2987_repset.9276440.smoothedM.clusters.gff3	wt	0	Enhancer-of-zeste_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_2987
1427	3942	3942_repset.16025472.smoothedM.clusters.gff3.enriched.gff.gz	H3K27me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	Kc	enriched	3942_repset.16025472.smoothedM.clusters.gff3	wt	0	H3K27me1_wt_Kc_Histone-Modification_0_enriched_3942
1428	3942	3942_repset.16025472.smoothedM.clusters.gff3.depleted.gff.gz	H3K27me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	Kc	depleted	3942_repset.16025472.smoothedM.clusters.gff3	wt	0	H3K27me1_wt_Kc_Histone-Modification_0_depleted_3942
1429	3788	3788_repset.9699473.smoothedM.clusters.gff3.depleted.gff.gz	MLE;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MLE	Late Embryonic stage	Karpen, G.	S2	depleted	3788_repset.9699473.smoothedM.clusters.gff3	wt	0	MLE_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3788
1430	3788	3788_repset.9699473.smoothedM.clusters.gff3.enriched.gff.gz	MLE;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MLE	Late Embryonic stage	Karpen, G.	S2	enriched	3788_repset.9699473.smoothedM.clusters.gff3	wt	0	MLE_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3788
1431	604	604_MAT_ZFH1_E-0-12h.bed_dcc.gff.gz	ZFH1;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	ZFH1	Embryos 0-12 hr	White, K.	Embryo	enriched	604_MAT_ZFH1_E-0-12h.bed_dcc.gff.gz	wt	0	ZFH1_wt_Embryo_Transcriptional-Factor_0_enriched_604
1432	306	306_repset.4162473.smoothedM.clusters.gff3.depleted.gff.gz	H3K79me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	306_repset.4162473.smoothedM.clusters.gff3	wt	0	H3K79me2_wt_ML-DmBG3_Histone-Modification_0_depleted_306
1433	306	306_repset.4162473.smoothedM.clusters.gff3.enriched.gff.gz	H3K79me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	306_repset.4162473.smoothedM.clusters.gff3	wt	0	H3K79me2_wt_ML-DmBG3_Histone-Modification_0_enriched_306
1434	3009	3009_repset.9276756.smoothedM.clusters.gff3.enriched.gff.gz	H3K9acS10P;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Late Embryonic stage	Karpen, G.	Kc	enriched	3009_repset.9276756.smoothedM.clusters.gff3	wt	0	H3K9acS10P_wt_Kc_Histone-Modification_0_enriched_3009
1435	3009	3009_repset.9276756.smoothedM.clusters.gff3.depleted.gff.gz	H3K9acS10P;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Late Embryonic stage	Karpen, G.	Kc	depleted	3009_repset.9276756.smoothedM.clusters.gff3	wt	0	H3K9acS10P_wt_Kc_Histone-Modification_0_depleted_3009
1436	3301	3301_repset.3506199.smoothedM.clusters.gff3.enriched.gff.gz	H3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Late Embryonic stage	Karpen, G.	S2	enriched	3301_repset.3506199.smoothedM.clusters.gff3	wt	0	H3_wt_S2_Histone-Modification_0_enriched_3301
1437	3301	3301_repset.3506199.smoothedM.clusters.gff3.depleted.gff.gz	H3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Late Embryonic stage	Karpen, G.	S2	depleted	3301_repset.3506199.smoothedM.clusters.gff3	wt	0	H3_wt_S2_Histone-Modification_0_depleted_3301
1438	5140	5140_repset.17402829.smoothedM.clusters.gff3.enriched.gff.gz	H3K4me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 2-4 hr OR	Karpen, G.	Embryo	enriched	5140_repset.17402829.smoothedM.clusters.gff3	wt	0	H3K4me3_wt_Embryo_Histone-Modification_0_enriched_5140
1439	5140	5140_repset.17402829.smoothedM.clusters.gff3.depleted.gff.gz	H3K4me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 2-4 hr OR	Karpen, G.	Embryo	depleted	5140_repset.17402829.smoothedM.clusters.gff3	wt	0	H3K4me3_wt_Embryo_Histone-Modification_0_depleted_5140
1440	3669	3669_repset.12058661.smoothedM.clusters.gff3.depleted.gff.gz	CP190;CG32491-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	3669_repset.12058661.smoothedM.clusters.gff3	wt	0	CP190_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_3669
1441	3669	3669_repset.12058661.smoothedM.clusters.gff3.enriched.gff.gz	CP190;CG32491-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	3669_repset.12058661.smoothedM.clusters.gff3	wt	0	CP190_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_3669
1442	921	921_repset.4620429.smoothedM.clusters.gff3.depleted.gff.gz	BEAF-32;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	921_repset.4620429.smoothedM.clusters.gff3	wt	0	BEAF-32_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_921
1443	921	921_repset.4620429.smoothedM.clusters.gff3.enriched.gff.gz	BEAF-32;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	921_repset.4620429.smoothedM.clusters.gff3	wt	0	BEAF-32_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_921
1444	3044	3044_repset.9699736.smoothedM.clusters.gff3.enriched.gff.gz	MOF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MOF	Late Embryonic stage	Karpen, G.	S2	enriched	3044_repset.9699736.smoothedM.clusters.gff3	wt	0	MOF_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3044
1445	3044	3044_repset.9699736.smoothedM.clusters.gff3.depleted.gff.gz	MOF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MOF	Late Embryonic stage	Karpen, G.	S2	depleted	3044_repset.9699736.smoothedM.clusters.gff3	wt	0	MOF_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3044
1446	2566	2566_MAT_E0-12h_HDAC6_497.bed.gff.gz	HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	Embryo	enriched	2566_MAT_E0-12h_HDAC6_497.bed.gff.gz	wt	0	HDAC6_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_2566
1447	291	291_repset.4162513.smoothedM.clusters.gff3.depleted.gff.gz	H3K18ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	291_repset.4162513.smoothedM.clusters.gff3	wt	0	H3K18ac_wt_ML-DmBG3_Histone-Modification_0_depleted_291
1448	291	291_repset.4162513.smoothedM.clusters.gff3.enriched.gff.gz	H3K18ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	291_repset.4162513.smoothedM.clusters.gff3	wt	0	H3K18ac_wt_ML-DmBG3_Histone-Modification_0_enriched_291
1449	5102	5102_2410.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5102_2410.enrichment.clusters.gff3	wt	0	H3K9ac_wt_Larvae_Histone-Modification_0_enriched_5102
1450	5102	5102_2411.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5102_2411.enrichment.clusters.gff3	wt	1	H3K9ac_wt_Larvae_Histone-Modification_1_enriched_5102
1451	5102	5102_repset.18482242.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5102_repset.18482242.enrichment.clusters.gff3	wt	2	H3K9ac_wt_Larvae_Histone-Modification_2_enriched_5102
