Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
H3K9ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	964
H3K9ac;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 12-16 hr	White, K.	416
H3K9ac;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Late Embryonic stage	Karpen, G.	3007
H3K9ac;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae L1 stage	White, K.	396
H3K9ac;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae L2 stage	White, K.	391
H3K9ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 14-16 hr OR	Karpen, G.	3764
H3K9ac;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 2-4 hr OR	Karpen, G.	6072
H3K9ac;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	3006
H3K9ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	5102
H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	3766
H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	4949
H3K9ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Late Embryonic stage	Karpen, G.	309
H3K9ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Late Embryonic stage	Karpen, G.	3765
H3K9ac;Y cn bw sp;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Adult Female	White, K.	581
H3K9ac;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Adult Male	White, K.	832
H3K9ac;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 0-4 hr	White, K.	421
H3K9ac;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 0-4 hr	White, K.	821
H3K9ac;Y cn bw sp;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 16-20 hr	White, K.	411
H3K9ac;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 16-20 hr	White, K.	825
H3K9ac;Y cn bw sp;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 20-24 hr	White, K.	406
H3K9ac;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 20-24 hr	White, K.	826
H3K9ac;Y cn bw sp;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 4-8 hr	White, K.	401
H3K9ac;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 4-8 hr	White, K.	822
H3K9ac;Y cn bw sp;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Embryos 8-12 hr	White, K.	870
H3K9ac;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 8-12 hr	White, K.	823
H3K9ac;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae L1 stage	White, K.	827
H3K9ac;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae L2 stage	White, K.	828
H3K9ac;Y cn bw sp;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae L3 stage	White, K.	386
H3K9ac;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Larvae L3 stage	White, K.	829
H3K9ac;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Pupae	White, K.	381
H3K9ac;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Pupae	White, K.	830
H3K9acS10P;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	3010
H3K9acS10P;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Late Embryonic stage	Karpen, G.	3009
H3K9acS10P;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	2659
H3K9acS10P;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9acS10P	Embryos 14-16 hr OR	Karpen, G.	5103
H3K9acS10P;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	3008
H3K9acS10P;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9acS10P	Larvae 3rd instar	Karpen, G.	5104
H3K9acS10P;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Mixed Adult	Karpen, G.	3767
H3K9acS10P;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9acS10P	Mixed Adult	Karpen, G.	5588
H3K9acS10P;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9acS10P	Late Embryonic stage	Karpen, G.	2660
H3K9me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me1	Embryos 14-16 hr OR	Karpen, G.	4123
H3K9me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me1	Larvae 3rd instar	Karpen, G.	5105
H3K9me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me1	Mixed Adult	Karpen, G.	5106
H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	3768
H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	3769
H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	3770
H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	4182
H3K9me1;Su(var) 3-9 06 17 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Larvae 3rd instar	Karpen, G.	4124
H3K9me2;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	937
H3K9me2;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3692
H3K9me2;G9a mutant ;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	5618
H3K9me2;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3771
H3K9me2;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	5613
H3K9me2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	938
H3K9me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	310
H3K9me2;mt2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3693
H3K9me2;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Embryos 14-16 hr OR	Karpen, G.	2661
H3K9me2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Embryos 14-16 hr OR	Karpen, G.	4940
H3K9me2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Embryos 2-4 hr OR	Karpen, G.	2662
H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	956
H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3694
H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3772
H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3890
H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	4958
H3K9me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Mixed Adult	Karpen, G.	3773
H3K9me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Mixed Adult	Karpen, G.	5059
H3K9me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Mixed Adult	Karpen, G.	5259
H3K9me2;Oregon-R;Tissue:Ovary:GK:1;Adult Female;Ovary;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Adult Female	Karpen, G.	3946
H3K9me2;PIWI2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	4198
H3K9me2;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	4201
H3K9me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	311
H3K9me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	3011
H3K9me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	3953
H3K9me2;Sexed Female Jil mutant-heterozygous;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar Sexed Female	Karpen, G.	5621
H3K9me2;Sexed Female Jil mutant;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar Sexed Female	Karpen, G.	5617
H3K9me2;Sexed male Jil mutant-heterozygous;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar Sexed Male	Karpen, G.	5602
H3K9me2;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar Sexed Male	Karpen, G.	5612
H3K9me2;Su(var) 3-9 06 17 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3889
H3K9me2;Su(var)3-9 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	3695
H3K9me3;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Adult Male	White, K.	425
H3K9me3;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	940
H3K9me3;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	3774
H3K9me3;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 0-12 hr	White, K.	621
H3K9me3;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 20-24 hr	White, K.	377
H3K9me3;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 4-8 hr	White, K.	764
H3K9me3;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 8-12 hr	White, K.	866
H3K9me3;G9a mutant ;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	5611
H3K9me3;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	3775
H3K9me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Late Embryonic stage	Karpen, G.	3013
H3K9me3;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae L1 stage	White, K.	374
H3K9me3;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae L2 stage	White, K.	375
H3K9me3;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae L3 stage	White, K.	358
H3K9me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	312
H3K9me3;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 14-16 hr OR	Karpen, G.	2663
H3K9me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 14-16 hr OR	Karpen, G.	4939
H3K9me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 2-4 hr OR	Karpen, G.	3012
H3K9me3;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	958
H3K9me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	4952
H3K9me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Mixed Adult	Karpen, G.	2664
H3K9me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Mixed Adult	Karpen, G.	4933
H3K9me3;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	4202
H3K9me3;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Pupae	White, K.	765
H3K9me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Late Embryonic stage	Karpen, G.	313
H3K9me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Late Embryonic stage	Karpen, G.	4183
H3K9me3;Sexed Female Jil mutant-heterozygous;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Female	Karpen, G.	5608
H3K9me3;Sexed Female Jil mutant;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Female	Karpen, G.	5609
H3K9me3;Sexed male Jil mutant-heterozygous;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Male	Karpen, G.	5601
H3K9me3;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Male	Karpen, G.	5623
H3K9me3;Su(var) 3-9 06 17 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	3891
H3K9me3;Su(var)3-9 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar	Karpen, G.	3696
H3K9me3;Y cn bw sp;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Adult Female	White, K.	429
H3K9me3;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 0-4 hr	White, K.	420
H3K9me3;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 0-4 hr	White, K.	971
H3K9me3;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 0-4 hr	White, K.	801
H3K9me3;Y cn bw sp;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 12-16 hr	White, K.	415
H3K9me3;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 12-16 hr	White, K.	804
H3K9me3;Y cn bw sp;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 16-20 hr	White, K.	410
H3K9me3;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 16-20 hr	White, K.	805
H3K9me3;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 20-24 hr	White, K.	806
H3K9me3;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 4-8 hr	White, K.	802
H3K9me3;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Embryos 8-12 hr	White, K.	803
H3K9me3;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Larvae L1 stage	White, K.	807
H3K9me3;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Larvae L2 stage	White, K.	808
H3K9me3;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me3	Pupae	White, K.	809
H4;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4	Larvae 3rd instar	Karpen, G.	3303
H4;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4	Embryos 14-16 hr OR	Karpen, G.	5107
H4;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4	Embryos 2-4 hr OR	Karpen, G.	4954
H4;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4	Late Embryonic stage	Karpen, G.	3304
H4acTetra;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4acTetra	Late Embryonic stage	Karpen, G.	201
H4K12ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K12ac	Late Embryonic stage	Karpen, G.	5144
H4K16ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	317
H4K16ac;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Late Embryonic stage	Karpen, G.	318
H4K16ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	316
H4K16ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Embryos 14-16 hr OR	Karpen, G.	3697
H4K16ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Embryos 14-16 hr OR	Karpen, G.	3698
H4K16ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Embryos 14-16 hr OR	Karpen, G.	4938
H4K16ac;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	3776
H4K16ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	5260
H4K16ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Mixed Adult	Karpen, G.	5108
H4K16ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Late Embryonic stage	Karpen, G.	319
H4K16ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Late Embryonic stage	Karpen, G.	320
H4K16ac;Sexed Female Jil mutant;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar Sexed Female	Karpen, G.	5619
H4K16ac;Sexed male Jil mutant-heterozygous;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar Sexed Male	Karpen, G.	5622
H4K16ac;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar Sexed Male	Karpen, G.	5620
H4K20me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Late Embryonic stage	Karpen, G.	3287
H4K20me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Larvae 3rd instar	Karpen, G.	3286
H4K20me1;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Embryos 14-16 hr OR	Karpen, G.	3285
H4K20me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Embryos 14-16 hr OR	Karpen, G.	5109
H4K20me1;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Embryos 2-4 hr OR	Karpen, G.	5261
H4K20me1;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Larvae 3rd instar	Karpen, G.	3699
H4K20me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Larvae 3rd instar	Karpen, G.	4948
H4K20me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Mixed Adult	Karpen, G.	4937
H4K20me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Late Embryonic stage	Karpen, G.	3014
H4K5ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K5ac	Late Embryonic stage	Karpen, G.	321
